Date,Interval,Time,DeadGams,Notes,Revertgams,Newgams,deadgam18,revertgam18,newgam18,GroupSize,initpupae,Pupae,pupae_eighteen,eggs,larvae,NumGams,multigam,Treatment,SourceCol,PHOTO_YO,PHOTO_MATED,PHOTO_YB,cricket,headwidth_mm,,indcode,Colcode,Colony,Mark,Status_Scanobs,Duel,NumDuel,Antennaldrumming,Numantdrum,Recantdrum,Domperf,NumDomperf,Domrec,NumDomrec,Allogrooming,Recgrooming,WalkOver,NumWalkover,HandlePupae,Handlinglarv,Handlingoldeggs,BroodHandling,Outside,Time Outside
2/5/20,Twelve,Initial,,,,,,,,86,2,2,,,,7,1,SP,T3A2,,,,,,,,AY,T3A2(66),PWP,G,1,4,4,4,1,0,0,0,0,0,1,0,0,0,2,0,2,0,0
12/18/19,Twelve,Initial,,,,,,,,82,13,13,,,,8,1,IP,S1,,,,,,,9,B,51 A/2(+)(99B),G,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/14/21,Eighteen,Initial,,,,,,,,110,13,13,13,,,11,1,SP,F100,,,,,,,17,C,F100A,OWO,G,4,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12/6/21,Eighteen,Initial,,,,,,,,82,1,1,1,,,10,1,SP,F103,,,,,,,,D,F103,WPW,G,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/31/21,Eighteen,Initial,,,,,,,,72,3,3,3,,,7,1,IP,F105,,,,,,,,E,F105,GO,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
5/5/21,Eighteen,Initial,,,,,,,,71,3,3,3,,,5,1,SP,F105,,,,,,,,F,F105/2,OWO,W,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,1,0
10/4/19,Twelve,Initial,,,,,,,,67,3,3,,,,7,1,SP,F107,,,,,,,,G,F107/1,O,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3/16/21,Eighteen,Initial,,,,,,,,94,16,16,16,,,8,1,SP,F111,,,,,,,,H,F111,GPG,G,1,3,1,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
12/6/21,Eighteen,Initial,,,,,,,,67,0,0,0,,,6,1,IP,F111,,,,,,,38,I,F111/1,PGP,G,7,51,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1/21/20,Twelve,Initial,,,,,,,,67,15,15,,,,4,1,SP,F20,,,,,,,43,J,F20/1,P,G,1,14,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
